city,city_ascii,state_id,state_name,name combo,county_fips,county_name,lat,lng,timezone,zips,id
Coral Terrace,Coral Terrace,FL,Florida,"Coral Terrace, Florida",12086,Miami-Dade,25.7464,-80.3049,America/New_York,33144 33155 33245,1840029028
Claremore,Claremore,OK,Oklahoma,"Claremore, Oklahoma",40131,Rogers,36.3143,-95.6099,America/Chicago,74019 74017 74018,1840019049
Homewood,Homewood,AL,Alabama,"Homewood, Alabama",1073,Jefferson,33.4617,-86.8092,America/Chicago,35229 35209 35219 35293,1840014794
Farmington,Farmington,UT,Utah,"Farmington, Utah",49011,Davis,40.9846,-111.9065,America/Denver,84025,1840020142
Columbine,Columbine,CO,Colorado,"Columbine, Colorado",8059,Jefferson,39.5879,-105.0694,America/Denver,80128 80123,1840135257
South Pasadena,South Pasadena,CA,California,"South Pasadena, California",6037,Los Angeles,34.1103,-118.1573,America/Los_Angeles,91030 91031,1840021871
Canyon Lake,Canyon Lake,TX,Texas,"Canyon Lake, Texas",48091,Comal,29.8761,-98.2611,America/Chicago,78623 78132 78133 78070,1840018260
Kingsville,Kingsville,TX,Texas,"Kingsville, Texas",48273,Kleberg,27.5094,-97.8611,America/Chicago,78363 78364,1840021013
Forest City,Forest City,NC,North Carolina,"Forest City, North Carolina",37161,Rutherford,35.3338,-81.8702,America/New_York,28043,1840016320
Salem,Salem,VA,Virginia,"Salem, Virginia",51775,Salem,37.2864,-80.0555,America/New_York,24153 24155 24157,1840001719
Bainbridge Island,Bainbridge Island,WA,Washington,"Bainbridge Island, Washington",53035,Kitsap,47.6439,-122.5434,America/Los_Angeles,98110 98061,1840018409
Caledonia,Caledonia,WI,Wisconsin,"Caledonia, Wisconsin",55101,Racine,42.7986,-87.8762,America/Chicago,53405 53404 53406 53402 53126 53108,1840010091
Champlin,Champlin,MN,Minnesota,"Champlin, Minnesota",27053,Hennepin,45.1702,-93.3903,America/Chicago,55316,1840006746
Edwardsville,Edwardsville,IL,Illinois,"Edwardsville, Illinois",17119,Madison,38.7923,-89.9877,America/Chicago,62025 62048 62026,1840008564
South Bradenton,South Bradenton,FL,Florida,"South Bradenton, Florida",12081,Manatee,27.4612,-82.5821,America/New_York,34205 34207 34210,1840029076
Fairland,Fairland,MD,Maryland,"Fairland, Maryland",24031,Montgomery,39.0804,-76.9527,America/New_York,20866 20904 20905,1840001593
Palm Springs,Palm Springs,FL,Florida,"Palm Springs, Florida",12099,Palm Beach,26.6349,-80.0968,America/New_York,33461 33406,1840018308
Elk River,Elk River,MN,Minnesota,"Elk River, Minnesota",27141,Sherburne,45.3314,-93.567,America/Chicago,55330,1840007794
Rosemount,Rosemount,MN,Minnesota,"Rosemount, Minnesota",27037,Dakota,44.7465,-93.0662,America/Chicago,55068,1840008951
Fountain Hills,Fountain Hills,AZ,Arizona,"Fountain Hills, Arizona",4013,Maricopa,33.6073,-111.7398,America/Phoenix,85268 85269,1840021945
Belvidere,Belvidere,IL,Illinois,"Belvidere, Illinois",17007,Boone,42.2544,-88.8649,America/Chicago,61008,1840006971
Riverside,Riverside,OH,Ohio,"Riverside, Ohio",39113,Montgomery,39.7836,-84.1219,America/New_York,45432 45431 45404 45424 45437,1840012490
Middle River,Middle River,MD,Maryland,"Middle River, Maryland",24005,Baltimore,39.3345,-76.4318,America/New_York,21220 21221,1840005682
Muskego,Muskego,WI,Wisconsin,"Muskego, Wisconsin",55133,Waukesha,42.886,-88.1291,America/Chicago,53150,1840003023
Levittown,Levittown,PR,Puerto Rico,"Levittown, Puerto Rico",72137,Toa Baja,18.4454,-66.1759,America/Puerto_Rico,949,1630035506
Hazelwood,Hazelwood,MO,Missouri,"Hazelwood, Missouri",29189,St. Louis,38.7931,-90.3899,America/Chicago,63042 63031,1840007453
Scottsbluff,Scottsbluff,NE,Nebraska,"Scottsbluff, Nebraska",31157,Scotts Bluff,41.8684,-103.6616,America/Denver,69361 69363,1840009197
Fresno,Fresno,TX,Texas,"Fresno, Texas",48157,Fort Bend,29.5358,-95.4696,America/Chicago,77545,1840018266
Ridgewood,Ridgewood,NJ,New Jersey,"Ridgewood, New Jersey",34003,Bergen,40.9822,-74.1128,America/New_York,07450 07451,1840000899
Yucca Valley,Yucca Valley,CA,California,"Yucca Valley, California",6071,San Bernardino,34.1234,-116.4216,America/Los_Angeles,92284,1840022726
Branson,Branson,MO,Missouri,"Branson, Missouri",29213,Taney,36.651,-93.2635,America/Chicago,65616 65615,1840007659
Balch Springs,Balch Springs,TX,Texas,"Balch Springs, Texas",48113,Dallas,32.7194,-96.6151,America/Chicago,75180 75181,1840019435
